id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source
CPI-000024,P06850,P17302,CRF_HUMAN,CXA1_HUMAN,"OmniPath,Wang",
CPI-000025,P29279,P17302,CTGF_HUMAN,CXA1_HUMAN,"OmniPath,Wang",
CPI-000026,P17302,Q9UKL4,CXA1_HUMAN,CXD2_HUMAN,"OmniPath,Wang",
CPI-000027,P14672,Q13507,GLUT4_HUMAN,TRPC3_HUMAN,"OmniPath,TRIP",PMID: 17156765
CPI-000028,P35372,P00533,OPRM_HUMAN,EGFR_HUMAN,"OmniPath,Wang",PMID: 
CPI-000029,O14939,P35372,PLD2_HUMAN,OPRM_HUMAN,"OmniPath,Wang",
CPI-000030,P35372,O14939,OPRM_HUMAN,PLD2_HUMAN,"OmniPath,Wang",
CPI-000031,P51674,P35372,GPM6A_HUMAN,OPRM_HUMAN,"OmniPath,Wang",
CPI-000032,P35372,P51674,OPRM_HUMAN,GPM6A_HUMAN,"OmniPath,Wang",
CPI-000033,P21980,P00533,TGM2_HUMAN,EGFR_HUMAN,"OmniPath,Wang",PMID: 
CPI-000034,P21980,P19838,TGM2_HUMAN,NFKB1_HUMAN,"OmniPath,Wang",PMID: 
CPI-000035,P21980,P14780,TGM2_HUMAN,MMP9_HUMAN,"OmniPath,Wang",PMID: 
CPI-000036,P21980,P05556,TGM2_HUMAN,ITB1_HUMAN,"OmniPath,Ramilowski2015",
CPI-000037,P21980,Q00722,TGM2_HUMAN,PLCB2_HUMAN,"OmniPath,Wang",PMID: 
CPI-000038,P21980,P06400,TGM2_HUMAN,RB_HUMAN,"OmniPath,Wang",PMID: 
CPI-000039,P21980,P31431,TGM2_HUMAN,SDC4_HUMAN,"OmniPath,Ramilowski2015",PMID: 23499501
CPI-000040,P21980,Q9UBY5,TGM2_HUMAN,LPAR3_HUMAN,"OmniPath,Wang",
CPI-000041,P21980,P05106,TGM2_HUMAN,ITB3_HUMAN,"OmniPath,Ramilowski2015",
CPI-000042,P41220,O60266,RGS2_HUMAN,ADCY3_HUMAN,"KEGG,OmniPath",
CPI-000043,P48995,O75762,TRPC1_HUMAN,TRPA1_HUMAN,"OmniPath,TRIP",PMID: 23994313
CPI-000044,P48995,P21817,TRPC1_HUMAN,RYR1_HUMAN,"OmniPath,TRIP,Wang",PMID: 18215135
CPI-000045,P48995,P16615,TRPC1_HUMAN,AT2A2_HUMAN,"OmniPath,TRIP","PMID: 18068335,PMID: 18191041"
CPI-000046,Q03135,P48995,CAV1_HUMAN,TRPC1_HUMAN,"OmniPath,TRIP","PMID: 12732636,PMID: 14551243,PMID: 16822931,PMID: 18430726,PMID: 19052258,PMID: 19351713,PMID: 19897728"
CPI-000047,P48995,Q9Y210,TRPC1_HUMAN,TRPC6_HUMAN,"OmniPath,TRIP","PMID: 12857742,PMID: 16418302,PMID: 18191041,PMID: 20660561"
CPI-000048,P48995,Q9UL62,TRPC1_HUMAN,TRPC5_HUMAN,"OmniPath,TRIP","PMID: 11301024,PMID: 12377790,PMID: 12857742,PMID: 16270640,PMID: 18356201,PMID: 21968068"
CPI-000049,Q9UL62,P48995,TRPC5_HUMAN,TRPC1_HUMAN,"OmniPath,TRIP","PMID: 11301024,PMID: 12377790,PMID: 12857742,PMID: 16270640,PMID: 18356201,PMID: 21968068"
CPI-000050,Q13586,P48995,STIM1_HUMAN,TRPC1_HUMAN,"OmniPath,TRIP","PMID: 16870612,PMID: 16906149,PMID: 17224452,PMID: 17892531,PMID: 18249094,PMID: 18326500,PMID: 18430726,PMID: 18644792,PMID: 18802022,PMID: 19332490,PMID: 19897728,PMID: 20194530,PMID: 20488539,PMID: 22446186,PMID: 22592407,PMID: 23034388,PMID: 23395841,PMID: 23686296,PMID: 24464579,PMID: 25013939"
CPI-000051,P48995,Q9UBN4,TRPC1_HUMAN,TRPC4_HUMAN,"OmniPath,TRIP","PMID: 11301024,PMID: 12377790,PMID: 12857742,PMID: 16270640,PMID: 16418302,PMID: 16818374,PMID: 17416589,PMID: 17892531,PMID: 19307462,PMID: 19812031,PMID: 22144671,PMID: 22534489"
CPI-000052,Q9UBN4,P48995,TRPC4_HUMAN,TRPC1_HUMAN,"OmniPath,TRIP","PMID: 11301024,PMID: 12377790,PMID: 12857742,PMID: 16270640,PMID: 16418302,PMID: 16818374,PMID: 17416589,PMID: 17892531,PMID: 19307462,PMID: 19812031,PMID: 22144671,PMID: 22534489"
CPI-000053,P48995,Q9H1D0,TRPC1_HUMAN,TRPV6_HUMAN,"OmniPath,TRIP","PMID: 22932896,PMID: 25172921"
CPI-000054,P48995,Q9HBA0,TRPC1_HUMAN,TRPV4_HUMAN,"OmniPath,TRIP","PMID: 20093626,PMID: 20705915,PMID: 21871867,PMID: 25114176,PMID: 25139746"
CPI-000055,Q9HBA0,P48995,TRPV4_HUMAN,TRPC1_HUMAN,"OmniPath,TRIP","PMID: 20093626,PMID: 20705915,PMID: 21871867,PMID: 25114176,PMID: 25139746"
CPI-000056,P48995,Q13507,TRPC1_HUMAN,TRPC3_HUMAN,"OmniPath,TRIP","PMID: 10882720,PMID: 12857742,PMID: 15834157,PMID: 15972814,PMID: 17486119,PMID: 18215135,PMID: 19260825,PMID: 19502552,PMID: 21996795,PMID: 24613381,PMID: 9215637"
CPI-000057,Q13507,P48995,TRPC3_HUMAN,TRPC1_HUMAN,"OmniPath,TRIP","PMID: 10882720,PMID: 12857742,PMID: 15834157,PMID: 15972814,PMID: 17486119,PMID: 18215135,PMID: 19260825,PMID: 19502552,PMID: 21996795,PMID: 24613381,PMID: 9215637"
CPI-000058,P14416,P48995,DRD2_HUMAN,TRPC1_HUMAN,"OmniPath,TRIP",PMID: 18261457
CPI-000059,P48995,Q14573,TRPC1_HUMAN,ITPR3_HUMAN,"OmniPath,TRIP","PMID: 11290752,PMID: 14505576,PMID: 15654973,PMID: 19052258"
CPI-000060,P48995,Q9HCX4,TRPC1_HUMAN,TRPC7_HUMAN,"OmniPath,TRIP",PMID: 15972814
CPI-000061,P48995,P56539,TRPC1_HUMAN,CAV3_HUMAN,"OmniPath,TRIP",PMID: 18544631
CPI-000062,P48995,Q13936,TRPC1_HUMAN,CAC1C_HUMAN,"OmniPath,TRIP",PMID: 21672930
CPI-000063,P48995,Q96D31,TRPC1_HUMAN,CRCM1_HUMAN,"OmniPath,TRIP","PMID: 18326500,PMID: 18644792,PMID: 20194530,PMID: 23686296"
CPI-000064,Q02790,P07288,FKBP4_HUMAN,KLK3_HUMAN,"OmniPath,Wang",PMID: 
CPI-000065,P40933,Q02790,IL15_HUMAN,FKBP4_HUMAN,"OmniPath,SignaLink3",PMID: 21903422
CPI-000066,P41180,P12643,CASR_HUMAN,BMP2_HUMAN,"OmniPath,Wang",PMID: 
CPI-000067,O75762,Q9Y210,TRPA1_HUMAN,TRPC6_HUMAN,"OmniPath,TRIP",PMID: 23994313
CPI-000068,O75762,Q8NER1,TRPA1_HUMAN,TRPV1_HUMAN,"OmniPath,TRIP",PMID: 20231274
CPI-000069,O75762,Q13586,TRPA1_HUMAN,STIM1_HUMAN,"OmniPath,TRIP",PMID: 23994313
CPI-000070,O75762,Q96D31,TRPA1_HUMAN,CRCM1_HUMAN,"OmniPath,TRIP",PMID: 23994313
CPI-000071,P21817,Q05586,RYR1_HUMAN,NMDZ1_HUMAN,"OmniPath,Wang",
CPI-000072,P21817,Q13936,RYR1_HUMAN,CAC1C_HUMAN,"OmniPath,Wang",
CPI-000073,P21817,O15547,RYR1_HUMAN,P2RX6_HUMAN,"OmniPath,Wang",
CPI-000074,P21817,Q9P0X4,RYR1_HUMAN,CAC1I_HUMAN,"OmniPath,Wang",
CPI-000075,P21817,Q14957,RYR1_HUMAN,NMDE3_HUMAN,"OmniPath,Wang",
CPI-000076,P21817,Q12879,RYR1_HUMAN,NMDE1_HUMAN,"OmniPath,Wang",
CPI-000077,P21817,P36544,RYR1_HUMAN,ACHA7_HUMAN,"OmniPath,Wang",
CPI-000078,P21817,Q93086,RYR1_HUMAN,P2RX5_HUMAN,"OmniPath,Wang",
CPI-000079,P21817,P51575,RYR1_HUMAN,P2RX1_HUMAN,"OmniPath,Wang",
CPI-000080,P21817,Q9UBL9,RYR1_HUMAN,P2RX2_HUMAN,"OmniPath,Wang",
CPI-000081,P21817,Q01668,RYR1_HUMAN,CAC1D_HUMAN,"OmniPath,Wang",
CPI-000082,P21817,Q99572,RYR1_HUMAN,P2RX7_HUMAN,"OmniPath,Wang",
CPI-000083,P21817,P56373,RYR1_HUMAN,P2RX3_HUMAN,"OmniPath,Wang",
CPI-000084,P21817,Q99571,RYR1_HUMAN,P2RX4_HUMAN,"OmniPath,Wang",
CPI-000085,P21817,O95180,RYR1_HUMAN,CAC1H_HUMAN,"OmniPath,Wang",
CPI-000086,P21817,O15399,RYR1_HUMAN,NMDE4_HUMAN,"OmniPath,Wang",
CPI-000087,P21817,O43497,RYR1_HUMAN,CAC1G_HUMAN,"OmniPath,Wang",
CPI-000088,Q13224,Q8NER1,NMDE2_HUMAN,TRPV1_HUMAN,"OmniPath,TRIP",PMID: 22609428
CPI-000089,Q13224,Q05586,NMDE2_HUMAN,NMDZ1_HUMAN,"OmniPath,Wang",PMID: 
CPI-000090,P15692,Q13224,VEGFA_HUMAN,NMDE2_HUMAN,"CellPhoneDB,I2D,OmniPath",
CPI-000091,P61586,Q03135,RHOA_HUMAN,CAV1_HUMAN,"Adhesome,OmniPath","PMID: 20460433,PMID: 9647788"
CPI-000092,P12931,P61586,SRC_HUMAN,RHOA_HUMAN,"Adhesome,KEGG,OmniPath,Wang",PMID: 10592173
CPI-000093,P61586,P12931,RHOA_HUMAN,SRC_HUMAN,"Adhesome,KEGG,OmniPath,Wang",PMID: 10592173
CPI-000094,P06241,P61586,FYN_HUMAN,RHOA_HUMAN,"KEGG,OmniPath,Wang",
CPI-000095,P61586,P06241,RHOA_HUMAN,FYN_HUMAN,"KEGG,OmniPath,Wang",PMID: 
CPI-000096,P17612,P61586,KAPCA_HUMAN,RHOA_HUMAN,"Adhesome,KEGG,OmniPath,Wang","PMID: 12654918,PMID: 8599934"
CPI-000097,P61586,P17612,RHOA_HUMAN,KAPCA_HUMAN,"Adhesome,KEGG,OmniPath,Wang","PMID: 12654918,PMID: 8599934"
CPI-000098,P00533,P61586,EGFR_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000099,P61586,P00533,RHOA_HUMAN,EGFR_HUMAN,"OmniPath,Wang",
CPI-000100,P61586,P60484,RHOA_HUMAN,PTEN_HUMAN,"OmniPath,SignaLink3","PMID: 15764699,PMID: 15793569,PMID: 15803130,PMID: 22244698"
CPI-000101,P61586,P21333,RHOA_HUMAN,FLNA_HUMAN,"Adhesome,OmniPath",PMID: 10051605
CPI-000102,P18031,P61586,PTN1_HUMAN,RHOA_HUMAN,"Adhesome,OmniPath",PMID: 16644720
CPI-000103,P61586,P18031,RHOA_HUMAN,PTN1_HUMAN,"Adhesome,OmniPath,Wang",PMID: 16644720
CPI-000104,P61586,P63000,RHOA_HUMAN,RAC1_HUMAN,"Adhesome,KEGG,OmniPath,Wang",PMID: 10592173
CPI-000105,P63000,P61586,RAC1_HUMAN,RHOA_HUMAN,"Adhesome,KEGG,OmniPath,Wang","PMID: ,PMID: 10592173"
CPI-000106,P06239,P61586,LCK_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000107,P61586,P06239,RHOA_HUMAN,LCK_HUMAN,"OmniPath,Wang",PMID: 
CPI-000108,P07947,P61586,YES_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000109,P61586,P07947,RHOA_HUMAN,YES_HUMAN,"OmniPath,Wang",
CPI-000110,P12830,P61586,CADH1_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000111,P61586,P12830,RHOA_HUMAN,CADH1_HUMAN,"OmniPath,Wang",
CPI-000112,P35609,P61586,ACTN2_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000113,P61586,P35609,RHOA_HUMAN,ACTN2_HUMAN,"OmniPath,Wang",PMID: 
CPI-000114,P28482,P61586,MK01_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000115,P61586,P28482,RHOA_HUMAN,MK01_HUMAN,"OmniPath,Wang",PMID: 
CPI-000116,P42336,P61586,PK3CA_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000117,P61586,P42336,RHOA_HUMAN,PK3CA_HUMAN,"OmniPath,Wang",PMID: 
CPI-000118,P07996,P61586,TSP1_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000119,P61586,P07996,RHOA_HUMAN,TSP1_HUMAN,"OmniPath,Wang",
CPI-000120,P61586,P29353,RHOA_HUMAN,SHC1_HUMAN,"OmniPath,Wang",PMID: 
CPI-000121,P01112,P61586,RASH_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000122,P61586,P01112,RHOA_HUMAN,RASH_HUMAN,"OmniPath,Wang",
CPI-000123,P56945,P61586,BCAR1_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000124,P61586,P56945,RHOA_HUMAN,BCAR1_HUMAN,"KEGG,OmniPath,Wang",
CPI-000125,P61586,Q07889,RHOA_HUMAN,SOS1_HUMAN,"OmniPath,Wang",PMID: 
CPI-000126,P02751,P61586,FINC_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000127,P61586,P02751,RHOA_HUMAN,FINC_HUMAN,"OmniPath,Wang",PMID: 
CPI-000128,P29317,P61586,EPHA2_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000129,P61586,P29317,RHOA_HUMAN,EPHA2_HUMAN,"OmniPath,Wang",
CPI-000130,P05107,P61586,ITB2_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000131,P61586,P05107,RHOA_HUMAN,ITB2_HUMAN,"OmniPath,Wang",
CPI-000132,P61586,P23528,RHOA_HUMAN,COF1_HUMAN,"KEGG,OmniPath",PMID: 
CPI-000133,P61586,Q13464,RHOA_HUMAN,ROCK1_HUMAN,"Adhesome,KEGG,OmniPath,SPIKE,SignaLink3,Signor,Wang","PMID: 10592173,PMID: 12727213,PMID: 12773565,PMID: 14660612,PMID: 15774750,PMID: 17145710,PMID: 17673200,PMID: 21281639,PMID: 22430126,PMID: 23151663,PMID: 25010901,PMID: 8798490,PMID: 8816443,PMID: 9535835"
CPI-000134,Q13464,P61586,ROCK1_HUMAN,RHOA_HUMAN,"Adhesome,OmniPath","PMID: 10592173,PMID: 12773565,PMID: 14660612,PMID: 21281639,PMID: 8798490,PMID: 8816443,PMID: 9535835"
CPI-000135,P61586,P15311,RHOA_HUMAN,EZRI_HUMAN,"Adhesome,OmniPath,Wang","PMID: ,PMID: 15659383"
CPI-000136,P19174,P61586,PLCG1_HUMAN,RHOA_HUMAN,"Adhesome,OmniPath",PMID: 12071848
CPI-000137,P61586,P19174,RHOA_HUMAN,PLCG1_HUMAN,"Adhesome,OmniPath,SignaLink3,Wang",PMID: 12071848
CPI-000138,P61586,Q13393,RHOA_HUMAN,PLD1_HUMAN,"Adhesome,KEGG,OmniPath,Signor,Wang","PMID: 11102529,PMID: 11311142,PMID: 12593858,PMID: 9565577"
CPI-000139,Q13393,P61586,PLD1_HUMAN,RHOA_HUMAN,"Adhesome,OmniPath","PMID: 11311142,PMID: 12593858,PMID: 9565577"
CPI-000140,Q13905,P61586,RPGF1_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000141,P61586,Q13905,RHOA_HUMAN,RPGF1_HUMAN,"OmniPath,Wang",
CPI-000142,P52333,P61586,JAK3_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000143,P61586,P52333,RHOA_HUMAN,JAK3_HUMAN,"OmniPath,Wang",PMID: 
CPI-000144,P09429,P61586,HMGB1_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000145,P61586,P09429,RHOA_HUMAN,HMGB1_HUMAN,"OmniPath,Wang",
CPI-000146,P49023,P61586,PAXI_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000147,P61586,P49023,RHOA_HUMAN,PAXI_HUMAN,"KEGG,OmniPath,Wang",PMID: 
CPI-000148,P11215,P61586,ITAM_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000149,P61586,P11215,RHOA_HUMAN,ITAM_HUMAN,"OmniPath,Wang",
CPI-000150,P61586,P62993,RHOA_HUMAN,GRB2_HUMAN,"OmniPath,Wang",PMID: 
CPI-000151,P61586,P35968,RHOA_HUMAN,VGFR2_HUMAN,"OmniPath,Wang",
CPI-000152,P61586,P15692,RHOA_HUMAN,VEGFA_HUMAN,"OmniPath,Wang",
CPI-000153,P61586,O43474,RHOA_HUMAN,KLF4_HUMAN,"OmniPath,Wang",PMID: 
CPI-000154,P35222,P61586,CTNB1_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000155,P61586,P35222,RHOA_HUMAN,CTNB1_HUMAN,"OmniPath,Wang",
CPI-000156,P08246,P61586,ELNE_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000157,P61586,P08246,RHOA_HUMAN,ELNE_HUMAN,"OmniPath,Wang",
CPI-000158,O60716,P61586,CTND1_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000159,P61586,O60716,RHOA_HUMAN,CTND1_HUMAN,"OmniPath,Wang",
CPI-000160,P61586,P45983,RHOA_HUMAN,MK08_HUMAN,"Adhesome,KEGG,OmniPath,Wang","PMID: ,PMID: 15659383"
CPI-000161,P61586,Q06124,RHOA_HUMAN,PTN11_HUMAN,"OmniPath,Wang",PMID: 
CPI-000162,P61586,P63261,RHOA_HUMAN,ACTG_HUMAN,"OmniPath,Wang",PMID: 
CPI-000163,P17252,P61586,KPCA_HUMAN,RHOA_HUMAN,"Adhesome,OmniPath,Wang","PMID: 10592173,PMID: 11284700"
CPI-000164,P61586,P17252,RHOA_HUMAN,KPCA_HUMAN,"Adhesome,OmniPath,Wang","PMID: 10592173,PMID: 11284700"
CPI-000165,P27986,P61586,P85A_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000166,P61586,P27986,RHOA_HUMAN,P85A_HUMAN,"OmniPath,Wang",PMID: 
CPI-000167,P60709,P61586,ACTB_HUMAN,RHOA_HUMAN,"Adhesome,OmniPath",PMID: 10592173
CPI-000168,P61586,P60709,RHOA_HUMAN,ACTB_HUMAN,"Adhesome,KEGG,OmniPath,Wang",PMID: 10592173
CPI-000169,P05556,P61586,ITB1_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000170,P61586,P05556,RHOA_HUMAN,ITB1_HUMAN,"OmniPath,Wang",PMID: 
CPI-000171,P61586,Q13153,RHOA_HUMAN,PAK1_HUMAN,"Adhesome,KEGG,OmniPath,Wang","PMID: ,PMID: 18541910"
CPI-000172,Q13153,P61586,PAK1_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000173,P37173,P61586,TGFR2_HUMAN,RHOA_HUMAN,"KEGG,OmniPath,Wang",
CPI-000174,P61586,P37173,RHOA_HUMAN,TGFR2_HUMAN,"KEGG,OmniPath,Wang",
CPI-000175,P61586,Q9Y490,RHOA_HUMAN,TLN1_HUMAN,"OmniPath,Wang",PMID: 
CPI-000176,Q9Y490,P61586,TLN1_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000177,P02452,P61586,CO1A1_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000178,P61586,P02452,RHOA_HUMAN,CO1A1_HUMAN,"OmniPath,Wang",PMID: 
CPI-000179,P61586,Q05655,RHOA_HUMAN,KPCD_HUMAN,"OmniPath,Wang",PMID: 
CPI-000180,Q05655,P61586,KPCD_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000181,P42574,P61586,CASP3_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000182,P61586,P42574,RHOA_HUMAN,CASP3_HUMAN,"OmniPath,Wang",
CPI-000183,P61586,Q14790,RHOA_HUMAN,CASP8_HUMAN,"Adhesome,OmniPath",PMID: 15659383
CPI-000184,P61586,Q9NRY4,RHOA_HUMAN,RHG35_HUMAN,"Adhesome,KEGG,OmniPath,Wang",PMID: 10592173
CPI-000185,Q9NRY4,P61586,RHG35_HUMAN,RHOA_HUMAN,"Adhesome,KEGG,OmniPath,Wang","PMID: ,PMID: 10592173"
CPI-000186,P19022,P61586,CADH2_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000187,P61586,P19022,RHOA_HUMAN,CADH2_HUMAN,"OmniPath,Wang",
CPI-000188,P61586,P15153,RHOA_HUMAN,RAC2_HUMAN,"OmniPath,Wang",PMID: 
CPI-000189,P46108,P61586,CRK_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000190,P61586,P46108,RHOA_HUMAN,CRK_HUMAN,"OmniPath,Wang",
CPI-000191,P61586,Q15139,RHOA_HUMAN,KPCD1_HUMAN,"OmniPath,Wang",PMID: 
CPI-000192,P61586,O75116,RHOA_HUMAN,ROCK2_HUMAN,"KEGG,OmniPath,SPIKE,SignaLink3,Wang","PMID: 11350930,PMID: 12727213,PMID: 17673200"
CPI-000193,P61586,Q04759,RHOA_HUMAN,KPCT_HUMAN,"OmniPath,Wang",PMID: 
CPI-000194,Q04759,P61586,KPCT_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000195,P01375,P61586,TNFA_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000196,P61586,P01375,RHOA_HUMAN,TNFA_HUMAN,"OmniPath,Wang",
CPI-000197,Q13009,P61586,TIAM1_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000198,P61586,Q13009,RHOA_HUMAN,TIAM1_HUMAN,"OmniPath,Wang",
CPI-000199,P07384,P61586,CAN1_HUMAN,RHOA_HUMAN,"Adhesome,OmniPath,Wang","PMID: ,PMID: 11964413"
CPI-000200,P61586,P07384,RHOA_HUMAN,CAN1_HUMAN,"Adhesome,OmniPath,Wang",PMID: 11964413
CPI-000201,Q96QB1,P61586,RHG07_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000202,P61586,Q96QB1,RHOA_HUMAN,RHG07_HUMAN,"OmniPath,Wang",
CPI-000203,P61586,Q05397,RHOA_HUMAN,FAK1_HUMAN,"KEGG,OmniPath,Wang",PMID: 
CPI-000204,Q05397,P61586,FAK1_HUMAN,RHOA_HUMAN,"KEGG,OmniPath,Wang",
CPI-000205,P31749,P61586,AKT1_HUMAN,RHOA_HUMAN,"KEGG,OmniPath",
CPI-000206,P61586,P31749,RHOA_HUMAN,AKT1_HUMAN,"KEGG,OmniPath,Wang",PMID: 
CPI-000207,P61586,Q9UNA1,RHOA_HUMAN,RHG26_HUMAN,"Adhesome,OmniPath,Wang","PMID: 11432776,PMID: 8649427"
CPI-000208,Q9UNA1,P61586,RHG26_HUMAN,RHOA_HUMAN,"Adhesome,OmniPath,Wang","PMID: 11432776,PMID: 8649427"
CPI-000209,P61586,P60763,RHOA_HUMAN,RAC3_HUMAN,"OmniPath,Wang",PMID: 
CPI-000210,P61586,Q02156,RHOA_HUMAN,KPCE_HUMAN,"OmniPath,Wang",PMID: 
CPI-000211,Q02156,P61586,KPCE_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000212,P17655,P61586,CAN2_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000213,P61586,P17655,RHOA_HUMAN,CAN2_HUMAN,"OmniPath,Wang",
CPI-000214,P61586,Q08043,RHOA_HUMAN,ACTN3_HUMAN,"OmniPath,Wang",PMID: 
CPI-000215,Q08043,P61586,ACTN3_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000216,P15498,P61586,VAV_HUMAN,RHOA_HUMAN,"Adhesome,OmniPath,SignaLink3,Wang","PMID: 10592173,PMID: 14757747,PMID: 16397238,PMID: 18511940,PMID: 9601639,PMID: 9695188"
CPI-000217,P61586,P15498,RHOA_HUMAN,VAV_HUMAN,"Adhesome,OmniPath,Wang","PMID: 10592173,PMID: 16397238,PMID: 18511940,PMID: 9601639"
CPI-000218,P52803,P61586,EFNA5_HUMAN,RHOA_HUMAN,"OmniPath,Wang",
CPI-000219,P61586,P52803,RHOA_HUMAN,EFNA5_HUMAN,"OmniPath,Wang",
