uniprot,protein_name,transmembrane,peripheral,secreted,secreted_desc,secreted_highlight,receptor,receptor_desc,integrin,other,other_desc,tags,tags_reason,tags_description
Q14993,COJA1_HUMAN,False,False,True,,,False,,False,,,,,
Q05940,VMAT2_HUMAN,True,True,False,,,False,,False,,,,,
Q06830,PRDX1_HUMAN,False,False,False,,,False,,False,,,,,
P35579,MYH9_HUMAN,False,True,False,,,False,,False,,,,,
O15123,ANGP2_HUMAN,False,False,True,,,False,,False,,,,,
O14649,KCNK3_HUMAN,False,False,False,,,False,,False,,,,,
A6NMZ7,CO6A6_HUMAN,True,True,True,,,False,,False,,,,,
P11142,HSP7C_HUMAN,True,True,False,,,False,,False,,,,,
Q9BXJ1,C1QT1_HUMAN,True,False,False,,,False,,False,,,,,
P61328,FGF12_HUMAN,False,False,True,,,False,,False,,,,,
P00747,PLMN_HUMAN,False,True,True,,,False,,False,,,,,
Q96MX0,CKLF3_HUMAN,False,False,False,,,False,,False,,,,,
P21453,S1PR1_HUMAN,True,True,False,,,True,,False,,,,,
O75144,ICOSL_HUMAN,True,True,True,,,True,,False,,,,,
Q9BY67,CADM1_HUMAN,True,True,False,,,False,,False,,,,,
P30492,1B54_HUMAN,True,True,False,,,True,,False,,,,,
Q99965,ADAM2_HUMAN,True,True,False,,,False,,False,,,,,
P24347,MMP11_HUMAN,False,False,True,,,False,,False,,,,,
P22897,MRC1_HUMAN,True,True,False,,,True,,False,,,,,
P30533,AMRP_HUMAN,False,True,False,,,True,,False,,,,,
O15230,LAMA5_HUMAN,False,True,False,,,False,,False,,,,,
Q9UQE7,SMC3_HUMAN,False,False,False,,,False,,False,,,,,
P19235,EPOR_HUMAN,True,True,True,,,True,,False,,,,,
P05121,PAI1_HUMAN,False,False,True,,,False,,False,,,,,
P26441,CNTF_HUMAN,False,False,True,,,False,,False,,,,,
P15813,CD1D_HUMAN,True,True,False,,,True,,False,,,,,
Q9Y264,ANGP4_HUMAN,True,False,True,,,False,,False,,,,,
Q969P0,IGSF8_HUMAN,True,True,False,,,True,,False,,,,,
Q96QR1,SG3A1_HUMAN,False,False,True,,,False,,False,,,,,
P07478,TRY2_HUMAN,False,False,False,,,False,,False,,,,,
Q13443,ADAM9_HUMAN,True,True,False,,,True,,False,,,,,
P30990,NEUT_HUMAN,False,False,True,,,False,,False,,,,,
Q04756,HGFA_HUMAN,False,False,True,,,False,,False,,,,,
Q99983,OMD_HUMAN,False,False,True,,,False,,False,,,,,
O43157,PLXB1_HUMAN,True,True,True,,,True,,False,,,,,
Q14213,IL27B_HUMAN,True,True,True,,,True,,False,,,,,
Q14790,CASP8_HUMAN,True,False,True,,,False,,False,,,,,
P21917,DRD4_HUMAN,True,True,False,,,True,,False,,,,,
P31995,FCG2C_HUMAN,True,True,False,,,True,,False,,,,,
P10644,KAP0_HUMAN,False,False,False,,,False,,False,,,,,
Q96S42,NODAL_HUMAN,False,False,True,,,False,,False,,,,,
P08670,VIME_HUMAN,True,True,False,,,False,,False,,,,,
P17342,ANPRC_HUMAN,True,True,False,,,True,,False,,,,,
P07204,TRBM_HUMAN,True,True,False,,,True,,False,,,,,
P34925,RYK_HUMAN,True,True,False,,,True,,False,,,,,
P33076,C2TA_HUMAN,False,False,False,,,False,,False,,,,,
P30447,1A23_HUMAN,True,True,False,,,True,,False,,,,,
P08514,ITA2B_HUMAN,True,True,False,,,True,,True,,,,,
P56748,CLD8_HUMAN,True,True,False,,,False,,False,,,,,
Q8TDT2,GP152_HUMAN,True,True,False,,,True,,False,,,,,
Q9NSA1,FGF21_HUMAN,False,False,True,,,False,,False,,,,,
P18065,IBP2_HUMAN,False,False,False,,,False,,False,,,,,
P11216,PYGB_HUMAN,False,False,False,,,False,,False,,,,,
P68371,TBB4B_HUMAN,False,True,False,,,False,,False,,,,,
Q06643,TNFC_HUMAN,True,True,True,,,False,,False,,,,,
P48546,GIPR_HUMAN,True,True,False,,,True,,False,,,,,
Q9UF33,EPHA6_HUMAN,True,True,False,,,True,,False,,,,,
P03952,KLKB1_HUMAN,False,False,True,,,False,,False,,,,,
P51679,CCR4_HUMAN,True,True,False,,,True,,False,,,,,
P29965,CD40L_HUMAN,True,True,True,,,True,,False,,,,,
Q92934,BAD_HUMAN,False,False,False,,,False,,False,,,,,
P09683,SECR_HUMAN,False,False,True,,,False,,False,,,,,
P56539,CAV3_HUMAN,True,True,False,,,True,,False,,,,,
Q92729,PTPRU_HUMAN,True,True,False,,,True,,False,,,,,
O95150,TNF15_HUMAN,True,True,True,,,False,,False,,,,,
P23142,FBLN1_HUMAN,False,False,True,,,False,,False,,,,,
Q8N7P3,CLD22_HUMAN,False,True,False,,,False,,False,,,,,
Q9HBI1,PARVB_HUMAN,False,False,False,,,False,,False,,,,,
P22413,ENPP1_HUMAN,True,True,False,,,True,,False,,,,,
Q9BXN2,CLC7A_HUMAN,False,True,False,,,True,,False,,,,,
P84077,ARF1_HUMAN,True,True,False,,,False,,False,,,,,
P10966,CD8B_HUMAN,True,True,True,,,True,,False,,,,,
O75462,CRLF1_HUMAN,True,True,True,,,True,,False,,,,,
P14672,GLUT4_HUMAN,True,True,False,,,False,,False,,,,,
Q13822,ENPP2_HUMAN,False,False,True,,,False,,False,,,,,
Q99835,SMO_HUMAN,True,True,False,,,True,,False,,,,,
P38570,ITAE_HUMAN,True,True,False,,,True,,True,,,,,
P21860,ERBB3_HUMAN,True,True,True,,,True,,False,,,,,
Q12891,HYAL2_HUMAN,False,True,True,,,True,,False,,,,,
Q96IF1,AJUBA_HUMAN,False,False,False,,,False,,False,,,,,
P16189,1A31_HUMAN,True,True,False,,,True,,False,,,,,
P35318,ADML_HUMAN,False,False,True,,,False,,False,,,,,
P61366,OSTN_HUMAN,False,False,True,,,False,,False,,,,,
Q7RTX0,TS1R3_HUMAN,True,True,False,,,True,,False,,,,,
Q9ULZ3,ASC_HUMAN,False,False,False,,,False,,False,,,,,
P02760,AMBP_HUMAN,False,True,False,,,False,,False,,,,,
Q6UXX9,RSPO2_HUMAN,True,True,True,,,True,,False,,,,,
O60674,JAK2_HUMAN,False,False,False,,,False,,False,,,,,
P23352,KALM_HUMAN,False,False,False,,,False,,False,,,,,
Q13163,MP2K5_HUMAN,False,False,False,,,False,,False,,,,,
Q5TAT6,CODA1_HUMAN,True,True,False,,,True,,False,,,,,
Q9H1D0,TRPV6_HUMAN,False,True,False,,,False,,False,,,,,
P21728,DRD1_HUMAN,True,True,False,,,True,,False,,,,,
Q9Y4X3,CCL27_HUMAN,False,False,True,,,False,,False,,,,,
P10415,BCL2_HUMAN,True,False,False,,,False,,False,,,,,
Q9ULZ9,MMP17_HUMAN,False,True,False,,,False,,False,,,,,
Q9ULQ1,TPC1_HUMAN,False,True,False,,,False,,False,,,,,
P06733,ENOA_HUMAN,False,True,False,,,False,,False,,,,,
P13667,PDIA4_HUMAN,False,True,True,,,False,,False,,,,,
O43909,EXTL3_HUMAN,True,True,False,,,False,,False,,,,,
P48357,LEPR_HUMAN,True,True,True,,,True,,False,,,,,
P35368,ADA1B_HUMAN,True,True,False,,,True,,False,,,,,
O43707,ACTN4_HUMAN,False,True,False,,,False,,False,,,,,
O00220,TR10A_HUMAN,True,True,False,,,True,,False,,,,,
P06239,LCK_HUMAN,True,True,False,,,False,,False,,,,,
P78357,CNTP1_HUMAN,True,True,False,,,True,,False,,,,,
Q29836,1B67_HUMAN,True,True,False,,,True,,False,,,,,
Q9Y261,FOXA2_HUMAN,False,False,False,,,False,,False,,,,,
P36222,CH3L1_HUMAN,False,False,True,,,False,,False,,,,,
P56856,CLD18_HUMAN,True,True,False,,,False,,False,,,,,
P21359,NF1_HUMAN,False,False,False,,,False,,False,,,,,
Q9GZQ4,NMUR2_HUMAN,True,True,False,,,True,,False,,,,,
P55001,MFAP2_HUMAN,False,False,True,,,False,,False,,,,,
P14679,TYRO_HUMAN,False,True,False,,,False,,False,,,,,
O00230,CORT_HUMAN,False,False,True,,,False,,False,,,,,
P05556,ITB1_HUMAN,True,True,False,,,True,,True,,,,,
O43497,CAC1G_HUMAN,False,True,False,,,False,,False,,,,,
Q9Y6Y9,LY96_HUMAN,False,True,True,,,True,,False,,,,,
P24530,EDNRB_HUMAN,True,True,False,,,True,,False,,,,,
Q9P0W0,IFNK_HUMAN,False,False,True,,,False,,False,,,,,
P68363,TBA1B_HUMAN,False,False,False,,,False,,False,,,,,
P50591,TNF10_HUMAN,True,True,True,,,False,,False,,,,,
P06307,CCKN_HUMAN,False,False,True,,,False,,False,,,,,
P10147,CCL3_HUMAN,False,False,True,,,False,,False,,,,,
P01137,TGFB1_HUMAN,False,True,True,,,True,,False,,,,,
P29376,LTK_HUMAN,True,True,False,,,True,,False,,,,,
O14793,GDF8_HUMAN,False,False,True,,,False,,False,,,,,
P14625,ENPL_HUMAN,False,True,True,,,False,,False,,,,,
P04632,CPNS1_HUMAN,False,True,False,,,False,,False,,,,,
P41743,KPCI_HUMAN,False,False,False,,,False,,False,,,,,
Q15848,ADIPO_HUMAN,False,True,True,,,True,,False,,,,,
Q9BQB4,SOST_HUMAN,False,False,False,,,False,,False,,,,,
Q9BQ95,ECSIT_HUMAN,False,False,True,,,False,,False,,,,,
P36888,FLT3_HUMAN,True,True,False,,,True,,False,,,,,
O43526,KCNQ2_HUMAN,True,False,False,,,False,,False,,,,,
P0DP25,CALM3_HUMAN,False,False,False,,,False,,False,,,,,
P05023,AT1A1_HUMAN,True,True,False,,,False,,False,,,,,
P01011,AACT_HUMAN,True,True,True,,,False,,False,,,,,
O15552,FFAR2_HUMAN,True,True,False,,,True,,False,,,,,
O95786,DDX58_HUMAN,False,False,False,,,False,,False,,,,,
Q15438,CYH1_HUMAN,False,True,False,,,False,,False,,,,,
P07492,GRP_HUMAN,False,False,True,,,False,,False,,,,,
Q9Y6F1,PARP3_HUMAN,False,False,False,,,False,,False,,,,,
Q9Y6B6,SAR1B_HUMAN,False,False,True,,,False,,False,,,,,
Q9Y4G8,RPGF2_HUMAN,False,False,False,,,False,,False,,,,,
O15335,CHAD_HUMAN,False,False,True,,,False,,False,,,,,
Q6KF10,GDF6_HUMAN,False,False,True,,,False,,False,,,,,
O95944,NCTR2_HUMAN,True,True,False,,,True,,False,,,,,
O14905,WNT9B_HUMAN,False,False,True,,,False,,False,,,,,
Q9UL17,TBX21_HUMAN,False,False,False,,,False,,False,,,,,
P51587,BRCA2_HUMAN,False,False,False,,,False,,False,,,,,
Q13158,FADD_HUMAN,False,False,False,,,False,,False,,,,,
