gene_name,uniprot,hgnc_symbol,ensembl
CACNG1,Q06432,CACNG1,ENSG00000108878
PYCR1,P32322,PYCR1,ENSG00000183010
HMGB2,P26583,HMGB2,ENSG00000164104
B2M,P61769,B2M,ENSG00000166710
KIR2DL3,P43628,KIR2DL3,ENSG00000283702
APLP2,Q06481,APLP2,ENSG00000084234
TUBB4A,P04350,TUBB4A,ENSG00000104833
PRSS1,P07477,PRSS1,ENSG00000204983
HLA-DPA1,P20036,HLA-DPA1,ENSG00000236177
AGRN,O00468,AGRN,ENSG00000188157
BMP4,P12644,BMP4,ENSG00000125378
HLA-DQB2,P05538,HLA-DQB2,ENSG00000228813
GAD1,Q99259,GAD1,ENSG00000128683
CRLF1,O75462,CRLF1,ENSG00000006016
CTNNB1,P35222,CTNNB1,ENSG00000168036
B2M,P61769,B2M,ENSG00000273686
CCR7,P32248,CCR7,ENSG00000126353
ICOSLG,O75144,ICOSLG,ENSG00000160223
IL5,P05113,IL5,ENSG00000113525
KIR2DL3,P43628,KIR2DL3,ENSG00000284333
PTPRK,Q15262,PTPRK,ENSG00000273993
BMP2,P12643,BMP2,ENSG00000125845
HLA-C,P30505,HLA-C,ENSG00000206452
APOA2,P02652,APOA2,ENSG00000158874
TAS1R2,Q8TE23,TAS1R2,ENSG00000179002
DRD1,P21728,DRD1,ENSG00000184845
IRAK3,Q9Y616,IRAK3,ENSG00000090376
OLFM4,Q6UX06,OLFM4,ENSG00000102837
EFNA5,P52803,EFNA5,ENSG00000184349
DNAJA3,Q96EY1,DNAJA3,ENSG00000276726
KIR2DL5A,Q8N109,KIR2DL5A,ENSG00000274676
LINGO1,Q96FE5,LINGO1,ENSG00000169783
CCL11,P51671,CCL11,ENSG00000172156
TNF,P01375,TNF,ENSG00000232810
CSF2,P04141,CSF2,ENSG00000164400
ERBB4,Q15303,ERBB4,ENSG00000178568
HLA-C,Q95604,HLA-C,ENSG00000206452
CD8B,P10966,CD8B,ENSG00000172116
TNFRSF17,Q02223,TNFRSF17,ENSG00000048462
SLC12A9,Q9BXP2,SLC12A9,ENSG00000146828
RHOD,O00212,RHOD,ENSG00000173156
CYTH3,O43739,CYTH3,ENSG00000008256
ZAP70,P43403,ZAP70,ENSG00000115085
RPS19,P39019,RPS19,ENSG00000105372
AJAP1,Q9UKB5,AJAP1,ENSG00000196581
NOD2,Q9HC29,NOD2,ENSG00000167207
HLA-F,P30511,HLA-F,ENSG00000229698
VEGFC,P49767,VEGFC,ENSG00000150630
TRIO,O75962,TRIO,ENSG00000038382
DSC2,Q02487,DSC2,ENSG00000134755
ORM1,P02763,ORM1,ENSG00000229314
PRSS1,P07477,PRSS1,ENSG00000274247
CCL13,Q99616,CCL13,ENSG00000181374
APCDD1,Q8J025,APCDD1,ENSG00000154856
ZNRF3,Q9ULT6,ZNRF3,ENSG00000183579
CD200R1,Q8TD46,CD200R1,ENSG00000163606
ARL2,P36404,ARL2,ENSG00000213465
CSF1,P09603,CSF1,ENSG00000184371
HLA-DPA1,P20036,HLA-DPA1,ENSG00000168384
LILRB2,Q8N423,LILRB2,ENSG00000274513
ITGB1,P05556,ITGB1,ENSG00000150093
DDR1,Q08345,DDR1,ENSG00000204580
HSPA1A,P0DMV8,HSPA1A,ENSG00000215328
IL17RA,Q96F46,IL17RA,ENSG00000177663
LPXN,O60711,LPXN,ENSG00000110031
TNFSF4,P23510,TNFSF4,ENSG00000117586
CNTF,P26441,CNTF,ENSG00000242689
NPPB,P16860,NPPB,ENSG00000120937
NCAM2,O15394,NCAM2,ENSG00000154654
TNS1,Q9HBL0,TNS1,ENSG00000079308
CFB,P00751,CFB,ENSG00000241534
CAV1,Q03135,CAV1,ENSG00000105974
CAT,P04040,CAT,ENSG00000121691
C2,P06681,C2,ENSG00000204364
TNFRSF10B,O14763,TNFRSF10B,ENSG00000120889
ACR,P10323,ACR,ENSG00000100312
OSTF1,Q92882,OSTF1,ENSG00000134996
KIR2DL1,P43626,KIR2DL1,ENSG00000278738
LTB,Q06643,LTB,ENSG00000227507
CSF3R,Q99062,CSF3R,ENSG00000119535
PARD6G,Q9BYG4,PARD6G,ENSG00000178184
GPRC5D,Q9NZD1,GPRC5D,ENSG00000111291
IFNA14,P01570,IFNA14,ENSG00000228083
EDNRA,P25101,EDNRA,ENSG00000151617
KIR2DL2,P43627,KIR2DL2,ENSG00000278731
P2RX2,Q9UBL9,P2RX2,ENSG00000187848
DOCK2,Q92608,DOCK2,ENSG00000134516
GADD45A,P24522,GADD45A,ENSG00000116717
COL4A2,P08572,COL4A2,ENSG00000134871
P2RX1,P51575,P2RX1,ENSG00000108405
HPGDS,O60760,HPGDS,ENSG00000163106
GUCA2B,Q16661,GUCA2B,ENSG00000044012
DKK1,O94907,DKK1,ENSG00000107984
POSTN,Q15063,POSTN,ENSG00000133110
ARG1,P05089,ARG1,ENSG00000118520
KIR2DS2,P43631,KIR2DS2,ENSG00000276258
CFD,P00746,CFD,ENSG00000274619
BVES,Q8NE79,BVES,ENSG00000112276
TUBA8,Q9NY65,TUBA8,ENSG00000183785
GABBR1,Q9UBS5,GABBR1,ENSG00000232632
ITGB6,P18564,ITGB6,ENSG00000115221
HLA-DRB1,Q9TQE0,HLA-DRB1,ENSG00000229074
HLA-DRB1,Q5Y7A7,HLA-DRB1,ENSG00000206240
WNT2B,Q93097,WNT2B,ENSG00000134245
GHR,P10912,GHR,ENSG00000112964
NPY,P01303,NPY,ENSG00000122585
IL9,P15248,IL9,ENSG00000145839
TNXB,P22105,TNXB,ENSG00000168477
NPFF,O15130,NPFF,ENSG00000139574
PTPRZ1,P23471,PTPRZ1,ENSG00000106278
HLA-DRA,P01903,HLA-DRA,ENSG00000228987
CLIC1,O00299,CLIC1,ENSG00000226248
CALCA,P01258,CALCA,ENSG00000110680
NAMPT,P43490,NAMPT,ENSG00000105835
KIR2DS5,Q14953,KIR2DS5,ENSG00000275047
CSNK2B,P67870,CSNK2B,ENSG00000228875
FCER2,P06734,FCER2,ENSG00000104921
SCN8A,Q9UQD0,SCN8A,ENSG00000196876
TNC,P24821,TNC,ENSG00000041982
NCR3,O14931,NCR3,ENSG00000237103
APOH,P02749,APOH,ENSG00000091583
C1R,P00736,C1R,ENSG00000159403
DAPK3,O43293,DAPK3,ENSG00000167657
KIR2DS2,P43631,KIR2DS2,ENSG00000275735
PROS1,P07225,PROS1,ENSG00000184500
P4HB,P07237,P4HB,ENSG00000185624
PSMC4,P43686,PSMC4,ENSG00000281221
GRM5,P41594,GRM5,ENSG00000168959
NEXN,Q0ZGT2,NEXN,ENSG00000162614
PTPRU,Q92729,PTPRU,ENSG00000060656
IFNA7,P01567,IFNA7,ENSG00000214042
NTS,P30990,NTS,ENSG00000133636
HLA-B,P18463,HLA-B,ENSG00000206450
CLDN9,O95484,CLDN9,ENSG00000213937
CD86,P42081,CD86,ENSG00000114013
S1PR2,O95136,S1PR2,ENSG00000267534
SPTA1,P02549,SPTA1,ENSG00000163554
IL4I1,Q96RQ9,IL4I1,ENSG00000104951
S100A12,P80511,S100A12,ENSG00000163221
HLA-B,P30488,HLA-B,ENSG00000232126
BCAM,P50895,BCAM,ENSG00000187244
GRN,P28799,GRN,ENSG00000030582
HLA-DMB,P28068,HLA-DMB,ENSG00000241296
DCHS1,Q96JQ0,DCHS1,ENSG00000166341
DTX1,Q86Y01,DTX1,ENSG00000135144
PIP5K1C,O60331,PIP5K1C,ENSG00000186111
WNT11,O96014,WNT11,ENSG00000085741
PHOSPHO1,Q8TCT1,PHOSPHO1,ENSG00000173868
NLGN4X,Q8N0W4,NLGN4X,ENSG00000146938
HSPB1,P04792,HSPB1,ENSG00000106211
NCR3,O14931,NCR3,ENSG00000237808
FZD8,Q9H461,FZD8,ENSG00000177283
MAPK8,P45983,MAPK8,ENSG00000107643
CAPN1,P07384,CAPN1,ENSG00000014216
S1PR1,P21453,S1PR1,ENSG00000170989
PATJ,Q8NI35,PATJ,ENSG00000132849
CCL1,P22362,CCL1,ENSG00000108702
GAST,P01350,GAST,ENSG00000184502
BCAR3,O75815,BCAR3,ENSG00000137936
HES1,Q14469,HES1,ENSG00000114315
IL16,Q14005,IL16,ENSG00000172349
ACVR1C,Q8NER5,ACVR1C,ENSG00000123612
CHAT,P28329,CHAT,ENSG00000070748
IGF2R,P11717,IGF2R,ENSG00000197081
HLA-B,P30685,HLA-B,ENSG00000206450
SFRP1,Q8N474,SFRP1,ENSG00000104332
LAMC3,Q9Y6N6,LAMC3,ENSG00000050555
DEFB103B,P81534,DEFB103B,ENSG00000285376
OCLN,Q16625,OCLN,ENSG00000197822
DDR1,Q08345,DDR1,ENSG00000215522
EREG,O14944,EREG,ENSG00000124882
PRKCD,Q05655,PRKCD,ENSG00000163932
ADAMTS16,Q8TE57,ADAMTS16,ENSG00000145536
BLVRA,P53004,BLVRA,ENSG00000106605
COL11A1,P12107,COL11A1,ENSG00000060718
CDH2,P19022,CDH2,ENSG00000170558
NEU1,Q99519,NEU1,ENSG00000223957
DYSF,O75923,DYSF,ENSG00000135636
ULBP2,Q9BZM5,ULBP2,ENSG00000131015
PLA2G2F,Q9BZM2,PLA2G2F,ENSG00000158786
TRPA1,O75762,TRPA1,ENSG00000104321
FCER1A,P12319,FCER1A,ENSG00000179639
GPIHBP1,Q8IV16,GPIHBP1,ENSG00000277494
CYTH2,Q99418,CYTH2,ENSG00000105443
FBN1,P35555,FBN1,ENSG00000166147
EPHB1,P54762,EPHB1,ENSG00000154928
PI3,P19957,PI3,ENSG00000124102
HLA-G,P17693,HLA-G,ENSG00000237216
CSF2RB,P32927,CSF2RB,ENSG00000100368
NCR3,O14931,NCR3,ENSG00000236979
B3GAT1,Q9P2W7,B3GAT1,ENSG00000109956
LTA,P01374,LTA,ENSG00000230279
FGF21,Q9NSA1,FGF21,ENSG00000105550
ART1,P52961,ART1,ENSG00000129744
MYL9,P24844,MYL9,ENSG00000101335
CSH1,P0DML2,CSH1,ENSG00000136488
CCL24,O00175,CCL24,ENSG00000106178
DEFB4B,O15263,DEFB4B,ENSG00000171711
THBS4,P35443,THBS4,ENSG00000113296
CD109,Q6YHK3,CD109,ENSG00000156535
SHBG,P04278,SHBG,ENSG00000129214
YES1,P07947,YES1,ENSG00000176105
LRP1B,Q9NZR2,LRP1B,ENSG00000168702
EFEMP2,O95967,EFEMP2,ENSG00000172638
FCGR1A,P12314,FCGR1A,ENSG00000150337
RIPK2,O43353,RIPK2,ENSG00000104312
IL1R2,P27930,IL1R2,ENSG00000115590
IFNB1,P01574,IFNB1,ENSG00000171855
LTBR,P36941,LTBR,ENSG00000111321
BMP8A,Q7Z5Y6,BMP8A,ENSG00000183682
PIK3R1,P27986,PIK3R1,ENSG00000145675
CACNA1I,Q9P0X4,CACNA1I,ENSG00000100346
RAPGEF1,Q13905,RAPGEF1,ENSG00000107263
CDH11,P55287,CDH11,ENSG00000140937
ACR,P10323,ACR,ENSG00000283539
PTGDS,P41222,PTGDS,ENSG00000107317
TYROBP,O43914,TYROBP,ENSG00000011600
HSPA2,P54652,HSPA2,ENSG00000126803
CORO1A,P31146,CORO1A,ENSG00000102879
EPHA7,Q15375,EPHA7,ENSG00000135333
CPB1,P15086,CPB1,ENSG00000153002
LY86,O95711,LY86,ENSG00000112799
BMPR1A,P36894,BMPR1A,ENSG00000107779
RNF5,Q99942,RNF5,ENSG00000204308
GAA,P10253,GAA,ENSG00000171298
KIR2DL3,P43628,KIR2DL3,ENSG00000243772
WNT4,P56705,WNT4,ENSG00000162552
GJD2,Q9UKL4,GJD2,ENSG00000159248
CTSS,P25774,CTSS,ENSG00000163131
LTB,Q06643,LTB,ENSG00000236237
DSP,P15924,DSP,ENSG00000096696
MAPK15,Q8TD08,MAPK15,ENSG00000181085
LIF,P15018,LIF,ENSG00000128342
PDGFRA,P16234,PDGFRA,ENSG00000134853
SSH1,Q8WYL5,SSH1,ENSG00000084112
IL1R1,P14778,IL1R1,ENSG00000115594
FGFR3,P22607,FGFR3,ENSG00000068078
PIK3CA,P42336,PIK3CA,ENSG00000121879
SIGLEC6,O43699,SIGLEC6,ENSG00000105492
PLA2G4B,P0C869,PLA2G4B,ENSG00000243708
PLEK,P08567,PLEK,ENSG00000115956
VSIR,Q9H7M9,VSIR,ENSG00000107738
DDX58,O95786,DDX58,ENSG00000107201
SPINK1,P00995,SPINK1,ENSG00000164266
DEFB104A,Q8WTQ1,DEFB104A,ENSG00000277006
MAPK14,Q16539,MAPK14,ENSG00000112062
MMP11,P24347,MMP11,ENSG00000275365
NTNG1,Q9Y2I2,NTNG1,ENSG00000162631
INSL3,P51460,INSL3,ENSG00000248099
ITGAV,P06756,ITGAV,ENSG00000138448
DLK1,P80370,DLK1,ENSG00000185559
CASS4,Q9NQ75,CASS4,ENSG00000087589
C5AR1,P21730,C5AR1,ENSG00000197405
RPS27A,P62979,RPS27A,ENSG00000143947
THBS2,P35442,THBS2,ENSG00000186340
DLG4,P78352,DLG4,ENSG00000132535
IRF2BPL,Q9H1B7,IRF2BPL,ENSG00000119669
NTF3,P20783,NTF3,ENSG00000185652
LRRC32,Q14392,LRRC32,ENSG00000137507
DRD5,P21918,DRD5,ENSG00000169676
APOC1,P02654,APOC1,ENSG00000130208
HLA-DPB1,P04440,HLA-DPB1,ENSG00000215048
TNFRSF10A,O00220,TNFRSF10A,ENSG00000104689
LTA,P01374,LTA,ENSG00000226979
NBL1,P41271,NBL1,ENSG00000158747
IL6R,P08887,IL6R,ENSG00000160712
PTCH1,Q13635,PTCH1,ENSG00000185920
HLA-C,Q95604,HLA-C,ENSG00000206435
KIR2DS1,Q14954,KIR2DS1,ENSG00000276327
KIR2DS1,Q14954,KIR2DS1,ENSG00000273603
ARTN,Q5T4W7,ARTN,ENSG00000117407
MARCKS,P29966,MARCKS,ENSG00000277443
VIM,P08670,VIM,ENSG00000026025
SLC52A2,Q9HAB3,SLC52A2,ENSG00000185803
GPR1,P46091,GPR1,ENSG00000183671
P2RX6,O15547,P2RX6,ENSG00000099957
FHL2,Q14192,FHL2,ENSG00000115641
KIR3DL2,P43630,KIR3DL2,ENSG00000284063
S100A11,P31949,S100A11,ENSG00000163191
GP9,P14770,GP9,ENSG00000169704
ADCY6,O43306,ADCY6,ENSG00000174233
KCNJ11,Q14654,KCNJ11,ENSG00000187486
PTX3,P26022,PTX3,ENSG00000163661
TIMP2,P16035,TIMP2,ENSG00000035862
AMELY,Q99218,AMELY,ENSG00000099721
PPP2CA,P67775,PPP2CA,ENSG00000113575
KIR2DL4,Q99706,KIR2DL4,ENSG00000274955
HLA-C,P30505,HLA-C,ENSG00000206435
KIT,P10721,KIT,ENSG00000157404
SOX9,P48436,SOX9,ENSG00000125398
CAPNS1,P04632,CAPNS1,ENSG00000126247
GNS,P15586,GNS,ENSG00000135677
ROBO2,Q9HCK4,ROBO2,ENSG00000185008
NMUR2,Q9GZQ4,NMUR2,ENSG00000132911
CRHR1,P34998,CRHR1,ENSG00000276191
NPNT,Q6UXI9,NPNT,ENSG00000168743
CANX,P27824,CANX,ENSG00000127022
DAPK2,Q9UIK4,DAPK2,ENSG00000035664
HLA-DQB2,P05538,HLA-DQB2,ENSG00000226165
SERPINB6,P35237,SERPINB6,ENSG00000124570
EPHA8,P29322,EPHA8,ENSG00000070886
CXCR1,P25024,CXCR1,ENSG00000163464
GPM6A,P51674,GPM6A,ENSG00000150625
GPC5,P78333,GPC5,ENSG00000179399
FOXA1,P55317,FOXA1,ENSG00000129514
NOTCH1,P46531,NOTCH1,ENSG00000148400
RNF5,Q99942,RNF5,ENSG00000227277
PPARD,Q03181,PPARD,ENSG00000112033
TLR10,Q9BXR5,TLR10,ENSG00000174123
KIR2DL4,Q99706,KIR2DL4,ENSG00000277362
CASP8,Q14790,CASP8,ENSG00000064012
PDGFB,P01127,PDGFB,ENSG00000100311
TGFB2,P61812,TGFB2,ENSG00000092969
IL21R,Q9HBE5,IL21R,ENSG00000103522
LAMA5,O15230,LAMA5,ENSG00000130702
GALNS,P34059,GALNS,ENSG00000141012
KIR2DS2,P43631,KIR2DS2,ENSG00000274518
BMP8B,P34820,BMP8B,ENSG00000116985
RNF5,Q99942,RNF5,ENSG00000225452
EPHB6,O15197,EPHB6,ENSG00000106123
COL17A1,Q9UMD9,COL17A1,ENSG00000065618
HLA-DQB2,P05538,HLA-DQB2,ENSG00000228254
COL4A1,P02462,COL4A1,ENSG00000187498
CACNG3,O60359,CACNG3,ENSG00000006116
CLEC2A,Q6UVW9,CLEC2A,ENSG00000188393
COL11A2,P13942,COL11A2,ENSG00000204248
CSPG5,O95196,CSPG5,ENSG00000114646
CXCL5,P42830,CXCL5,ENSG00000163735
IFNA13,P01562,IFNA13,ENSG00000197919
MSTN,O14793,MSTN,ENSG00000138379
IHH,Q14623,IHH,ENSG00000163501
RET,P07949,RET,ENSG00000165731
LILRB1,Q8NHL6,LILRB1,ENSG00000104972
HDC,P19113,HDC,ENSG00000140287
CHI3L1,P36222,CHI3L1,ENSG00000133048
NRXN3,Q9Y4C0,NRXN3,ENSG00000021645
SELPLG,Q14242,SELPLG,ENSG00000110876
ZBTB16,Q05516,ZBTB16,ENSG00000109906
CD34,P28906,CD34,ENSG00000174059
KIR2DL4,Q99706,KIR2DL4,ENSG00000284365
TPI1,P60174,TPI1,ENSG00000111669
PLEC,Q15149,PLEC,ENSG00000178209
KIR2DS2,P43631,KIR2DS2,ENSG00000276425
RFNG,Q9Y644,RFNG,ENSG00000169733
SERPINF1,P36955,SERPINF1,ENSG00000132386
LAMA1,P25391,LAMA1,ENSG00000101680
IGSF5,Q9NSI5,IGSF5,ENSG00000183067
ROR1,Q01973,ROR1,ENSG00000185483
PRSS2,P07478,PRSS2,ENSG00000282049
CCR9,P51686,CCR9,ENSG00000173585
PODXL2,Q9NZ53,PODXL2,ENSG00000114631
KIR2DL3,P43628,KIR2DL3,ENSG00000283790
PAWR,Q96IZ0,PAWR,ENSG00000177425
ARHGEF2,Q92974,ARHGEF2,ENSG00000116584
EDN3,P14138,EDN3,ENSG00000124205
HLA-DMB,P28068,HLA-DMB,ENSG00000242574
LPL,P06858,LPL,ENSG00000175445
NTNG2,Q96CW9,NTNG2,ENSG00000196358
BACE1,P56817,BACE1,ENSG00000186318
LILRA3,Q8N6C8,LILRA3,ENSG00000276175
PLXNB1,O43157,PLXNB1,ENSG00000164050
CSPG4,Q6UVK1,CSPG4,ENSG00000173546
FCGR2B,P31994,FCGR2B,ENSG00000072694
THY1,P04216,THY1,ENSG00000154096
MAGI1,Q96QZ7,MAGI1,ENSG00000282956
IL22,Q9GZX6,IL22,ENSG00000127318
CXCL12,P48061,CXCL12,ENSG00000107562
PDGFRB,P09619,PDGFRB,ENSG00000113721
PIGF,Q07326,PIGF,ENSG00000151665
HSPA1A,P0DMV8,HSPA1A,ENSG00000235941
CD72,P21854,CD72,ENSG00000137101
KLKB1,P03952,KLKB1,ENSG00000164344
HLA-B,P30461,HLA-B,ENSG00000224608
TNIK,Q9UKE5,TNIK,ENSG00000154310
TRAF6,Q9Y4K3,TRAF6,ENSG00000175104
SOCS6,O14544,SOCS6,ENSG00000170677
SCN2A,Q99250,SCN2A,ENSG00000136531
PXN,P49023,PXN,ENSG00000089159
CCR3,P51677,CCR3,ENSG00000183625
KIR3DL2,P43630,KIR3DL2,ENSG00000283951
IL11,P20809,IL11,ENSG00000095752
CD6,P30203,CD6,ENSG00000013725
PAK2,Q13177,PAK2,ENSG00000180370
ENPEP,Q07075,ENPEP,ENSG00000138792
ZP3,P21754,ZP3,ENSG00000188372
KLRG2,A4D1S0,KLRG2,ENSG00000188883
KIR2DL3,P43628,KIR2DL3,ENSG00000277317
PYGM,P11217,PYGM,ENSG00000068976
ARSA,P15289,ARSA,ENSG00000100299
CLDN14,O95500,CLDN14,ENSG00000159261
GH2,P01242,GH2,ENSG00000136487
KIR2DS4,P43632,KIR2DS4,ENSG00000276885
CCL7,P80098,CCL7,ENSG00000108688
IL1RL2,Q9HB29,IL1RL2,ENSG00000115598
ADRB3,P13945,ADRB3,ENSG00000188778
ITGA2,P17301,ITGA2,ENSG00000164171
MAP3K3,Q99759,MAP3K3,ENSG00000198909
CD1B,P29016,CD1B,ENSG00000158485
ADAM2,Q99965,ADAM2,ENSG00000276286
NISCH,Q9Y2I1,NISCH,ENSG00000010322
VSTM1,Q6UX27,VSTM1,ENSG00000277607
KIR3DL2,P43630,KIR3DL2,ENSG00000276357
HLA-DRB1,Q30134,HLA-DRB1,ENSG00000206306
ITGA4,P13612,ITGA4,ENSG00000115232
HTR2A,P28223,HTR2A,ENSG00000102468
SLC6A3,Q01959,SLC6A3,ENSG00000276996
PAK1,Q13153,PAK1,ENSG00000149269
GJA1,P17302,GJA1,ENSG00000152661
CX3CL1,P78423,CX3CL1,ENSG00000006210
TGFB1,P01137,TGFB1,ENSG00000105329
VSTM1,Q6UX27,VSTM1,ENSG00000275577
BCL10,O95999,BCL10,ENSG00000142867
TSHB,P01222,TSHB,ENSG00000134200
AHSG,P02765,AHSG,ENSG00000145192
EDIL3,O43854,EDIL3,ENSG00000164176
RXFP1,Q9HBX9,RXFP1,ENSG00000171509
VSTM1,Q6UX27,VSTM1,ENSG00000274953
KIFAP3,Q92845,KIFAP3,ENSG00000075945
PLPP3,O14495,PLPP3,ENSG00000162407
HLA-DPB1,P04440,HLA-DPB1,ENSG00000230763
COL26A1,Q96A83,COL26A1,ENSG00000160963
NCR1,O76036,NCR1,ENSG00000278362
KIR2DL2,P43627,KIR2DL2,ENSG00000275407
SIRPG,Q9P1W8,SIRPG,ENSG00000089012
ASAP2,O43150,ASAP2,ENSG00000151693
C1S,P09871,C1S,ENSG00000182326
KIR3DL2,P43630,KIR3DL2,ENSG00000276739
KIR3DL1,P43629,KIR3DL1,ENSG00000167633
CHIA,Q9BZP6,CHIA,ENSG00000134216
CD160,O95971,CD160,ENSG00000117281
COL4A6,Q14031,COL4A6,ENSG00000197565
WNT9B,O14905,WNT9B,ENSG00000276799
HLA-B,P01889,HLA-B,ENSG00000234745
CD9,P21926,CD9,ENSG00000010278
KIR2DS4,P43632,KIR2DS4,ENSG00000276395
LGALS3BP,Q08380,LGALS3BP,ENSG00000108679
CD38,P28907,CD38,ENSG00000004468
IL17A,Q16552,IL17A,ENSG00000112115
ADAMTS4,O75173,ADAMTS4,ENSG00000158859
IL15,P40933,IL15,ENSG00000164136
GH1,P01241,GH1,ENSG00000259384
ABI1,Q8IZP0,ABI1,ENSG00000136754
TAS2R38,P59533,TAS2R38,ENSG00000257138
CALCRL,Q16602,CALCRL,ENSG00000064989
HLA-DQB2,P05538,HLA-DQB2,ENSG00000196610
PDGFD,Q9GZP0,PDGFD,ENSG00000170962
ADCYAP1R1,P41586,ADCYAP1R1,ENSG00000078549
WNT10A,Q9GZT5,WNT10A,ENSG00000135925
UTS2,O95399,UTS2,ENSG00000049247
ABCA1,O95477,ABCA1,ENSG00000165029
PTPRB,P23467,PTPRB,ENSG00000127329
CTSF,Q9UBX1,CTSF,ENSG00000174080
SIGLEC5,O15389,SIGLEC5,ENSG00000105501
NDEL1,Q9GZM8,NDEL1,ENSG00000166579
GDF15,Q99988,GDF15,ENSG00000130513
PPP1CA,P62136,PPP1CA,ENSG00000172531
TUBA1A,Q71U36,TUBA1A,ENSG00000167552
EGFR,P00533,EGFR,ENSG00000146648
MIA,Q16674,MIA,ENSG00000261857
ARVCF,O00192,ARVCF,ENSG00000099889
RXFP2,Q8WXD0,RXFP2,ENSG00000133105
BRCA2,P51587,BRCA2,ENSG00000139618
HLA-C,P30504,HLA-C,ENSG00000206452
ADA,P00813,ADA,ENSG00000196839
CHRNA7,P36544,CHRNA7,ENSG00000175344
PRDX2,P32119,PRDX2,ENSG00000167815
TNFRSF11B,O00300,TNFRSF11B,ENSG00000164761
RNF5,Q99942,RNF5,ENSG00000223767
SMAD3,P84022,SMAD3,ENSG00000166949
TNF,P01375,TNF,ENSG00000206439
P2RX7,Q99572,P2RX7,ENSG00000089041
ADRB2,P07550,ADRB2,ENSG00000169252
TNF,P01375,TNF,ENSG00000230108
CCR10,P46092,CCR10,ENSG00000184451
RREB1,Q92766,RREB1,ENSG00000124782
IZUMO1,Q8IYV9,IZUMO1,ENSG00000182264
C3AR1,Q16581,C3AR1,ENSG00000171860
RSPO4,Q2I0M5,RSPO4,ENSG00000101282
UNC5CL,Q8IV45,UNC5CL,ENSG00000124602
LGALS3,P17931,LGALS3,ENSG00000131981
